ID,X,Y,H,Sal
38362,350735.77,6033852.22,0.529173275027673,47.39593695484842
38363,350773.93075,6033876.625,0.5291701232748703,47.387191932260095
38364,350707.41500000004,6033814.9225,0.5291729732370409,47.39497641612081
38365,350803.164,6033926.413333333,0.5291717800837562,47.39185676628489
38366,351115.0195,6033992.135,0.5291262065081903,47.26509091443518
38367,351066.80374999996,6033988.1275,0.5291342087479706,47.287211938813805
38368,351019.95050000004,6033983.98,0.529141900145064,47.30852921695594
38369,350972.7035,6033979.07,0.5291495101069603,47.32967508180544
38370,350937.40866666666,6033966.543333333,0.5291540184446343,47.34224930349683
38371,349483.953,6033079.984999999,0.5292431877167683,47.57248180451494
38372,349453.76375000004,6033040.4375,0.5292404898787891,47.56314459789303
38373,349423.57224999997,6033000.8875,0.5292376974605469,47.55349448692263
38374,349393.37925,6032961.3375,0.5292348221885036,47.54357139845733
38375,349363.1825,6032921.782500001,0.5292318574584006,47.533349272545145
38376,349332.98575,6032882.225,0.5292288122473827,47.522851684267124
38377,349165.36375,6032741.5024999995,0.5292243927263917,47.50182005633634
38378,349272.5605,6032803.275,0.5292225072297284,47.501120208017724
38379,349242.27375,6032764.255,0.5292193153656379,47.49010195312899
38380,349302.77525,6032842.68,0.5292256962793875,47.512106252925456
38381,349551.699,6033097.6875,0.5292373352143325,47.55734737385545
38382,349688.03875,6033134.9625,0.5292253265205403,47.526177397934916
38383,349618.293,6033114.17,0.529231258930874,47.54150374279157
38384,349779.801,6033183.6274999995,0.5292206869691427,47.51538717894236
38385,349749.96975,6033145.4475,0.529218640109672,47.508320531240265
38386,350341.9185,6033284.735,0.5291548946020427,47.33878906729453
38387,349837.768,6033188.905,0.5292135163452845,47.495933534515714
38388,349904.16575,6033205.0825,0.5292067989055907,47.47809946327318
38389,349934.03599999996,6033244.2625,0.5292087581404772,47.48474576351987
38390,350288.22,6033284.9325,0.5291630862595479,47.36104192968753
38391,350236.7185,6033288.0025,0.5291713207924034,47.3835289150868
38392,350185.577,6033291.6075,0.5291795221780444,47.40599552475021
38393,350131.64775,6033291.61,0.5291875155244716,47.42785922540446
38394,350072.6855,6033285.16,0.5291951696183143,47.4486652756888
38395,350005.7325,6033267.7575,0.529202179333043,47.46740372849538
38396,350429.452,6033328.725,0.5291480856512493,47.321195360889135
38397,350399.35925,6033289.35,0.5291467922038603,47.31692318426727
38398,350489.66949999996,6033407.4925,0.5291504450820123,47.32895736905792
38399,350459.55075,6033368.1075,0.5291493084226632,47.32521761502829
38400,350492.164,6033481.345,0.5291609146919674,47.3586833267902
38401,350522.1945,6033520.695,0.5291618723118757,47.361845004118976
38402,350552.488,6033560.0725,0.5291627204324616,47.364647141137965
38403,350583.27875,6033598.6775,0.5291632848871798,47.36662053446473
38404,350614.448,6033636.5975,0.5291636037291566,47.36786097822491
38405,350888.4863333333,6033936.223333334,0.5291585094593021,47.35481108103666
38406,350913.84475,6033906.0775,0.5291502130539955,47.331782955006126
38407,350952.1905,6033929.215,0.52914662351732,47.32178560522401
38408,350858.477,6033915.66,0.5291609535700899,47.36163626210745
38409,350644.23825,6033675.3425,0.5291641872223123,47.36978755906089
38410,350673.73775,6033713.26,0.5291646186568448,47.371247387828525
38411,350709.28674999997,6033741.9325,0.5291627071904063,47.366109840104286
38412,350819.25875000004,6033892.5125,0.5291645754551813,47.371730876782
38413,350766.49075,6033815.54,0.5291631874339641,47.36773871553157
38414,350803.51525,6033836.0024999995,0.5291597153735509,47.35813391559622
38415,350738.69433333335,6033793.31,0.5291648334794131,47.3722380537242
38416,350752.51025,6033757.3975,0.5291576423097815,47.352147200443916
38417,351141.2695,6033949.6,0.529116143278516,47.237619564117736
38418,351093.2255,6033945.51,0.5291241094827546,47.259535048031964
38419,351044.774,6033942.04,0.5291321733641107,47.281773883805315
38420,350997.84725,6033937.31,0.5291397545439485,47.302738057643325
38421,349521.62625,6033058.2825,0.529234729516101,47.548379465074454
38422,349491.54725,6033018.8725,0.5292320503291517,47.539153935266086
38423,349461.43275000004,6032979.49,0.5292292943149557,47.52966489197997
38424,349431.34025,6032940.12,0.5292264557495909,47.519895522012654
